from,to,weight,type,gene
b2199,b2600,0.462,obo1,b3231
b2600,b2281,0.385,obo2,b3231
b2281,b1628,0.308,obo1,b3231
b1628,b3959,0.231,obo2,b3231
b3959,b0118,0.154,obo1,b3231
b0118,b0863,0.077,obo2,b3231
b0863,b2600,0.000,obo1,b3231
b3230,b1077,0.857,obo1,b3230
b1077,b3630,0.714,obo2,b3230
b3630,b2614,0.571,obo1,b3230
b2614,b3012,0.429,obo2,b3230
b3012,b0737,0.286,obo1,b3230
b0737,b2662,0.143,obo2,b3230
b2662,b2614,0.000,obo1,b3230
b2682,b1784,0.500,obo1,b2682
b1784,b2682,0.000,obo2,b2682
b3319,b2526,0.800,obo1,b3319
b2526,b3869,0.600,obo2,b3319
b3869,b1245,0.400,obo1,b3319
b1245,b1300,0.200,obo2,b3319
b1300,b2526,0.000,obo1,b3319
b3727,b3958,0.667,obo1,b3727
b3958,b3750,0.333,obo2,b3727
b3750,b3958,0.000,obo1,b3727
b3361,b1086,0.500,obo1,b3361
b1086,b3361,0.000,obo2,b3361
b3725,b4081,0.750,obo1,b3725
b4081,b1000,0.500,obo2,b3725
b1000,b1602,0.250,obo1,b3725
b1602,b1000,0.000,obo2,b3725
b3724,b3231,0.929,obo1,b3724
b3231,b1917,0.857,obo2,b3724
b1917,b3623,0.786,obo1,b3724
b3623,b3168,0.714,obo2,b3724
b3168,b1886,0.643,obo1,b3724
b1886,b3640,0.571,obo2,b3724
b3640,b2199,0.500,obo1,b3724
b2199,b2600,0.429,obo2,b3724
b2600,b2281,0.357,obo1,b3724
b2281,b1628,0.286,obo2,b3724
b1628,b3959,0.214,obo1,b3724
b3959,b0118,0.143,obo2,b3724
b0118,b0863,0.071,obo1,b3724
b0863,b2600,0.000,obo2,b3724
b4014,b3239,0.500,obo1,b4014
b3239,b4014,0.000,obo2,b4014
b4244,b0325,0.500,obo1,b4244
b0325,b4244,0.000,obo2,b4244
b4243,b0406,0.923,obo1,b4243
b0406,b3311,0.846,obo2,b4243
b3311,b0711,0.769,obo1,b4243
b0711,b1246,0.692,obo2,b4243
b1246,b4015,0.615,obo1,b4243
b4015,b1208,0.538,obo2,b4243
b1208,b1709,0.462,obo1,b4243
b1709,b0285,0.385,obo2,b4243
b0285,b0284,0.308,obo1,b4243
b0284,b1632,0.231,obo2,b4243
b1632,b1883,0.154,obo1,b4243
b1883,b1224,0.077,obo2,b4243
b1224,b1883,0.000,obo1,b4243
b0581,b3486,0.800,obo1,b0581
b3486,b0812,0.600,obo2,b0581
b0812,b3868,0.400,obo1,b0581
b3868,b1943,0.200,obo2,b0581
b1943,b3868,0.000,obo1,b0581
b0586,b0406,0.923,obo1,b0586
b0406,b3311,0.846,obo2,b0586
b3311,b0711,0.769,obo1,b0586
b0711,b1246,0.692,obo2,b0586
b1246,b4015,0.615,obo1,b0586
b4015,b1208,0.538,obo2,b0586
b1208,b1709,0.462,obo1,b0586
b1709,b0285,0.385,obo2,b0586
b0285,b0284,0.308,obo1,b0586
b0284,b1632,0.231,obo2,b0586
b1632,b1883,0.154,obo1,b0586
b1883,b1224,0.077,obo2,b0586
b1224,b1883,0.000,obo1,b0586
b0584,b2167,0.750,obo1,b0584
b2167,b2687,0.500,obo2,b0584
b2687,b1612,0.250,obo1,b0584
b1612,b0584,0.000,obo2,b0584
b0585,b3707,0.500,obo1,b0585
b3707,b0585,0.000,obo2,b0585
b0588,b3344,0.857,obo1,b0588
b3344,b0975,0.714,obo2,b0588
b0975,b1723,0.571,obo1,b0588
b1723,b0399,0.429,obo2,b0588
b0399,b0523,0.286,obo1,b0588
b0523,b0419,0.143,obo2,b0588
b0419,b0523,0.000,obo1,b0588
b0589,b3509,0.800,obo1,b0589
b3509,b0812,0.600,obo2,b0589
b0812,b3868,0.400,obo1,b0589
b3868,b1943,0.200,obo2,b0589
b1943,b3868,0.000,obo1,b0589
b3555,b4068,0.667,obo1,b3555
b4068,b3622,0.333,obo2,b3555
b3622,b4068,0.000,obo1,b3555
b1876,b3431,0.857,obo1,b1876
b3431,b2726,0.714,obo2,b1876
b2726,b1493,0.571,obo1,b1876
b1493,b2903,0.429,obo2,b1876
b2903,b4188,0.286,obo1,b1876
b4188,b2203,0.143,obo2,b1876
b2203,b4188,0.000,obo1,b1876
b3804,b3788,0.889,obo1,b3804
b3788,b0895,0.778,obo2,b3804
b0895,b4122,0.667,obo1,b3804
b4122,b1900,0.556,obo2,b3804
b1900,b4381,0.444,obo1,b3804
b4381,b1891,0.333,obo2,b3804
b1891,b0523,0.222,obo1,b3804
b0523,b0419,0.111,obo2,b3804
b0419,b0523,0.000,obo1,b3804
b0614,b3708,0.889,obo1,b0614
b3708,b0903,0.778,obo2,b0614
b0903,b1519,0.667,obo1,b0614
b1519,b3625,0.556,obo2,b0614
b3625,b1134,0.444,obo1,b0614
b1134,b3312,0.333,obo2,b0614
b3312,b0419,0.222,obo1,b0614
b0419,b0523,0.111,obo2,b0614
b0523,b0419,0.000,obo1,b0614
b1519,b3625,0.833,obo1,b1519
b3625,b1134,0.667,obo2,b1519
b1134,b3312,0.500,obo1,b1519
b3312,b0419,0.333,obo2,b1519
b0419,b0523,0.167,obo1,b1519
b0523,b0419,0.000,obo2,b1519
b4266,b3788,0.889,obo1,b4266
b3788,b0895,0.778,obo2,b4266
b0895,b4122,0.667,obo1,b4266
b4122,b1900,0.556,obo2,b4266
b1900,b4381,0.444,obo1,b4266
b4381,b1891,0.333,obo2,b4266
b1891,b0523,0.222,obo1,b4266
b0523,b0419,0.111,obo2,b4266
b0419,b0523,0.000,obo1,b4266
b2525,b0733,0.500,obo1,b2525
b0733,b2525,0.000,obo2,b2525
b3650,b0114,0.667,obo1,b3650
b0114,b0750,0.333,obo2,b3650
b0750,b0114,0.000,obo1,b3650
b2687,b1612,0.750,obo1,b2687
b1612,b0584,0.500,obo2,b2687
b0584,b2167,0.250,obo1,b2687
b2167,b2687,0.000,obo2,b2687
b3344,b0975,0.833,obo1,b3344
b0975,b1723,0.667,obo2,b3344
b1723,b0399,0.500,obo1,b3344
b0399,b0523,0.333,obo2,b3344
b0523,b0419,0.167,obo1,b3344
b0419,b0523,0.000,obo2,b3344
b3341,b0659,0.933,obo1,b3341
b0659,b0586,0.867,obo2,b3341
b0586,b0406,0.800,obo1,b3341
b0406,b3311,0.733,obo2,b3341
b3311,b0711,0.667,obo1,b3341
b0711,b1246,0.600,obo2,b3341
b1246,b4015,0.533,obo1,b3341
b4015,b1208,0.467,obo2,b3341
b1208,b1709,0.400,obo1,b3341
b1709,b0285,0.333,obo2,b3341
b0285,b0284,0.267,obo1,b3341
b0284,b1632,0.200,obo2,b3341
b1632,b1883,0.133,obo1,b3341
b1883,b1224,0.067,obo2,b3341
b1224,b1883,0.000,obo1,b3341
b0406,b3311,0.917,obo1,b0406
b3311,b0711,0.833,obo2,b0406
b0711,b1246,0.750,obo1,b0406
b1246,b4015,0.667,obo2,b0406
b4015,b1208,0.583,obo1,b0406
b1208,b1709,0.500,obo2,b0406
b1709,b0285,0.417,obo1,b0406
b0285,b0284,0.333,obo2,b0406
b0284,b1632,0.250,obo1,b0406
b1632,b1883,0.167,obo2,b0406
b1883,b1224,0.083,obo1,b0406
b1224,b1883,0.000,obo2,b0406
b0405,b1281,0.500,obo1,b0405
b1281,b0405,0.000,obo2,b0405
b2529,b0581,0.833,obo1,b2529
b0581,b3486,0.667,obo2,b2529
b3486,b0812,0.500,obo1,b2529
b0812,b3868,0.333,obo2,b2529
b3868,b1943,0.167,obo1,b2529
b1943,b3868,0.000,obo2,b2529
b2526,b3869,0.750,obo1,b2526
b3869,b1245,0.500,obo2,b2526
b1245,b1300,0.250,obo1,b2526
b1300,b2526,0.000,obo2,b2526
b2527,b2726,0.833,obo1,b2527
b2726,b1493,0.667,obo2,b2527
b1493,b2903,0.500,obo1,b2527
b2903,b4188,0.333,obo2,b2527
b4188,b2203,0.167,obo1,b2527
b2203,b4188,0.000,obo2,b2527
b2296,b1244,0.500,obo1,b2296
b1244,b2296,0.000,obo2,b2296
b0408,b2414,0.750,obo1,b0408
b2414,b0003,0.500,obo2,b0408
b0003,b1444,0.250,obo1,b0408
b1444,b0003,0.000,obo2,b0408
b2523,b1745,0.900,obo1,b2523
b1745,b1646,0.800,obo2,b2523
b1646,b2092,0.700,obo1,b2523
b2092,b0150,0.600,obo2,b2523
b0150,b2677,0.500,obo1,b2523
b2677,b2282,0.400,obo2,b2523
b2282,b1891,0.300,obo1,b2523
b1891,b0523,0.200,obo2,b2523
b0523,b0419,0.100,obo1,b2523
b0419,b0523,0.000,obo2,b2523
b3839,b0434,0.667,obo1,b3839
b0434,b0431,0.333,obo2,b3839
b0431,b0434,0.000,obo1,b3839
b2293,b1773,0.750,obo1,b2293
b1773,b0151,0.500,obo2,b2293
b0151,b3981,0.250,obo1,b2293
b3981,b0151,0.000,obo2,b2293
b1523,b0810,0.500,obo1,b1523
b0810,b1523,0.000,obo2,b1523
b4068,b3622,0.500,obo1,b4068
b3622,b4068,0.000,obo2,b4068
b2606,b2086,0.889,obo1,b2606
b2086,b3296,0.778,obo2,b2606
b3296,b0724,0.667,obo1,b2606
b0724,b1225,0.556,obo2,b2606
b1225,b3307,0.444,obo1,b2606
b3307,b1632,0.333,obo2,b2606
b1632,b1883,0.222,obo1,b2606
b1883,b1224,0.111,obo2,b2606
b1224,b1883,0.000,obo1,b2606
b1924,b4051,0.800,obo1,b1924
b4051,b2020,0.600,obo2,b1924
b2020,b4045,0.400,obo1,b1924
b4045,b2019,0.200,obo2,b1924
b2019,b4045,0.000,obo1,b1924
b4142,b0607,0.667,obo1,b4142
b0607,b0830,0.333,obo2,b4142
b0830,b0607,0.000,obo1,b4142
b0032,b2097,0.833,obo1,b0032
b2097,b2799,0.667,obo2,b0032
b2799,b1732,0.500,obo1,b0032
b1732,b3507,0.333,obo2,b0032
b3507,b3388,0.167,obo1,b0032
b3388,b3507,0.000,obo2,b0032
b0033,b4224,0.500,obo1,b0033
b4224,b0033,0.000,obo2,b0033
b2662,b2614,0.750,obo1,b2662
b2614,b3012,0.500,obo2,b2662
b3012,b0737,0.250,obo1,b2662
b0737,b2662,0.000,obo2,b2662
b4067,b3749,0.500,obo1,b4067
b3749,b4067,0.000,obo2,b4067
b1955,b3604,0.917,obo1,b1955
b3604,b3606,0.833,obo2,b1955
b3606,b1923,0.750,obo1,b1955
b1923,b2661,0.667,obo2,b1955
b2661,b3296,0.583,obo1,b1955
b3296,b0724,0.500,obo2,b1955
b0724,b1225,0.417,obo1,b1955
b1225,b3307,0.333,obo2,b1955
b3307,b1632,0.250,obo1,b1955
b1632,b1883,0.167,obo2,b1955
b1883,b1224,0.083,obo1,b1955
b1224,b1883,0.000,obo2,b1955
b1921,b0861,0.500,obo1,b1921
b0861,b1921,0.000,obo2,b1921
b2309,b2287,0.800,obo1,b2309
b2287,b1076,0.600,obo2,b2309
b1076,b0003,0.400,obo1,b2309
b0003,b1444,0.200,obo2,b2309
b1444,b0003,0.000,obo1,b2309
b1878,b2726,0.833,obo1,b1878
b2726,b1493,0.667,obo2,b1878
b1493,b2903,0.500,obo1,b1878
b2903,b4188,0.333,obo2,b1878
b4188,b2203,0.167,obo1,b1878
b2203,b4188,0.000,obo2,b1878
b4097,b4100,0.923,obo1,b4097
b4100,b1825,0.846,obo2,b4097
b1825,b1129,0.769,obo1,b4097
b1129,b4119,0.692,obo2,b4097
b4119,b0726,0.615,obo1,b4097
b0726,b3748,0.538,obo2,b4097
b3748,b2341,0.462,obo1,b4097
b2341,b2309,0.385,obo2,b4097
b2309,b2287,0.308,obo1,b4097
b2287,b1076,0.231,obo2,b4097
b1076,b0003,0.154,obo1,b4097
b0003,b1444,0.077,obo2,b4097
b1444,b0003,0.000,obo1,b4097
b3887,b4293,0.500,obo1,b3887
b4293,b3887,0.000,obo2,b3887
b3336,b0085,0.889,obo1,b3336
b0085,b3892,0.778,obo2,b3336
b3892,b3314,0.667,obo1,b3336
b3314,b0595,0.556,obo2,b3336
b0595,b2146,0.444,obo1,b3336
b2146,b2283,0.333,obo2,b3336
b2283,b1244,0.222,obo1,b3336
b1244,b2296,0.111,obo2,b3336
b2296,b1244,0.000,obo1,b3336
b1298,b3300,0.800,obo1,b1298
b3300,b0077,0.600,obo2,b1298
b0077,b0003,0.400,obo1,b1298
b0003,b1444,0.200,obo2,b1298
b1444,b0003,0.000,obo1,b1298
b2203,b4188,0.500,obo1,b2203
b4188,b2203,0.000,obo2,b2203
b0925,b0003,0.667,obo1,b0925
b0003,b1444,0.333,obo2,b0925
b1444,b0003,0.000,obo1,b0925
b0926,b1849,0.750,obo1,b0926
b1849,b1444,0.500,obo2,b0926
b1444,b0003,0.250,obo1,b0926
b0003,b1444,0.000,obo2,b0926
b0871,b1523,0.667,obo1,b0871
b1523,b0810,0.333,obo2,b0871
b0810,b1523,0.000,obo1,b0871
b2207,b3983,0.667,obo1,b2207
b3983,b1818,0.333,obo2,b2207
b1818,b3983,0.000,obo1,b2207
b0922,b3024,0.500,obo1,b0922
b3024,b0922,0.000,obo2,b0922
b2204,b3292,0.750,obo1,b2204
b3292,b0861,0.500,obo2,b2204
b0861,b1921,0.250,obo1,b2204
b1921,b0861,0.000,obo2,b2204
b3097,b0522,0.889,obo1,b3097
b0522,b2150,0.778,obo2,b3097
b2150,b2796,0.667,obo1,b3097
b2796,b3384,0.556,obo2,b3097
b3384,b0926,0.444,obo1,b3097
b0926,b1849,0.333,obo2,b3097
b1849,b1444,0.222,obo1,b3097
b1444,b0003,0.111,obo2,b3097
b0003,b1444,0.000,obo1,b3097
b3926,b3725,0.800,obo1,b3926
b3725,b4081,0.600,obo2,b3926
b4081,b1000,0.400,obo1,b3926
b1000,b1602,0.200,obo2,b3926
b1602,b1000,0.000,obo1,b3926
b4135,b1586,0.833,obo1,b4135
b1586,b2614,0.667,obo2,b4135
b2614,b3012,0.500,obo1,b4135
b3012,b0737,0.333,obo2,b4135
b0737,b2662,0.167,obo1,b4135
b2662,b2614,0.000,obo2,b4135
b3903,b2796,0.857,obo1,b3903
b2796,b3384,0.714,obo2,b3903
b3384,b0926,0.571,obo1,b3903
b0926,b1849,0.429,obo2,b3903
b1849,b1444,0.286,obo1,b3903
b1444,b0003,0.143,obo2,b3903
b0003,b1444,0.000,obo1,b3903
b0248,b3065,0.750,obo1,b0248
b3065,b1779,0.500,obo2,b0248
b1779,b3510,0.250,obo1,b0248
b3510,b1779,0.000,obo2,b0248
b0325,b4244,0.500,obo1,b0325
b4244,b0325,0.000,obo2,b0325
b2849,b0356,0.800,obo1,b2849
b0356,b0014,0.600,obo2,b2849
b0014,b4244,0.400,obo1,b2849
b4244,b0325,0.200,obo2,b2849
b0325,b4244,0.000,obo1,b2849
b2702,b3708,0.889,obo1,b2702
b3708,b0903,0.778,obo2,b2702
b0903,b1519,0.667,obo1,b2702
b1519,b3625,0.556,obo2,b2702
b3625,b1134,0.444,obo1,b2702
b1134,b3312,0.333,obo2,b2702
b3312,b0419,0.222,obo1,b2702
b0419,b0523,0.111,obo2,b2702
b0523,b0419,0.000,obo1,b2702
b2847,b2607,0.500,obo1,b2847
b2607,b2847,0.000,obo2,b2847
b0242,b1876,0.875,obo1,b0242
b1876,b3431,0.750,obo2,b0242
b3431,b2726,0.625,obo1,b0242
b2726,b1493,0.500,obo2,b0242
b1493,b2903,0.375,obo1,b0242
b2903,b4188,0.250,obo2,b0242
b4188,b2203,0.125,obo1,b0242
b2203,b4188,0.000,obo2,b0242
b0329,b3708,0.889,obo1,b0329
b3708,b0903,0.778,obo2,b0329
b0903,b1519,0.667,obo1,b0329
b1519,b3625,0.556,obo2,b0329
b3625,b1134,0.444,obo1,b0329
b1134,b3312,0.333,obo2,b0329
b3312,b0419,0.222,obo1,b0329
b0419,b0523,0.111,obo2,b0329
b0523,b0419,0.000,obo1,b0329
b4131,b0336,0.917,obo1,b4131
b0336,b0435,0.833,obo2,b4131
b0435,b0232,0.750,obo1,b4131
b0232,b1863,0.667,obo2,b4131
b1863,b2092,0.583,obo1,b4131
b2092,b0150,0.500,obo2,b4131
b0150,b2677,0.417,obo1,b4131
b2677,b2282,0.333,obo2,b4131
b2282,b1891,0.250,obo1,b4131
b1891,b0523,0.167,obo2,b4131
b0523,b0419,0.083,obo1,b4131
b0419,b0523,0.000,obo2,b4131
b1075,b2687,0.800,obo1,b1075
b2687,b1612,0.600,obo2,b1075
b1612,b0584,0.400,obo1,b1075
b0584,b2167,0.200,obo2,b1075
b2167,b2687,0.000,obo1,b1075
b3892,b3314,0.857,obo1,b3892
b3314,b0595,0.714,obo2,b3892
b0595,b2146,0.571,obo1,b3892
b2146,b2283,0.429,obo2,b3892
b2283,b1244,0.286,obo1,b3892
b1244,b2296,0.143,obo2,b3892
b2296,b1244,0.000,obo1,b3892
b2112,b3708,0.889,obo1,b2112
b3708,b0903,0.778,obo2,b2112
b0903,b1519,0.667,obo1,b2112
b1519,b3625,0.556,obo2,b2112
b3625,b1134,0.444,obo1,b2112
b1134,b3312,0.333,obo2,b2112
b3312,b0419,0.222,obo1,b2112
b0419,b0523,0.111,obo2,b2112
b0523,b0419,0.000,obo1,b2112
b3704,b2308,0.900,obo1,b3704
b2308,b2307,0.800,obo2,b3704
b2307,b0002,0.700,obo1,b3704
b0002,b2185,0.600,obo2,b3704
b2185,b0285,0.500,obo1,b3704
b0285,b0284,0.400,obo2,b3704
b0284,b1632,0.300,obo1,b3704
b1632,b1883,0.200,obo2,b3704
b1883,b1224,0.100,obo1,b3704
b1224,b1883,0.000,obo2,b3704
b1252,b1668,0.800,obo1,b1252
b1668,b0871,0.600,obo2,b1252
b0871,b1523,0.400,obo1,b1252
b1523,b0810,0.200,obo2,b1252
b0810,b1523,0.000,obo1,b1252
b3707,b0585,0.500,obo1,b3707
b0585,b3707,0.000,obo2,b3707
b3745,b2019,0.667,obo1,b3745
b2019,b4045,0.333,obo2,b3745
b4045,b2019,0.000,obo1,b3745
b3701,b0835,0.750,obo1,b3701
b0835,b2266,0.500,obo2,b3701
b2266,b0051,0.250,obo1,b3701
b0051,b2266,0.000,obo2,b3701
b3320,b3626,0.750,obo1,b3320
b3626,b1679,0.500,obo2,b3320
b1679,b3167,0.250,obo1,b3320
b3167,b1679,0.000,obo2,b3320
b3317,b0127,0.667,obo1,b3317
b0127,b1599,0.333,obo2,b3317
b1599,b0127,0.000,obo1,b3317
b3703,b4045,0.667,obo1,b3703
b4045,b2019,0.333,obo2,b3703
b2019,b4045,0.000,obo1,b3703
b3390,b2019,0.667,obo1,b3390
b2019,b4045,0.333,obo2,b3390
b4045,b2019,0.000,obo1,b3390
b1817,b2019,0.667,obo1,b1817
b2019,b4045,0.333,obo2,b1817
b4045,b2019,0.000,obo1,b1817
b3485,b0473,0.800,obo1,b3485
b0473,b2278,0.600,obo2,b3485
b2278,b3750,0.400,obo1,b3485
b3750,b3958,0.200,obo2,b3485
b3958,b3750,0.000,obo1,b3485
b1777,b2092,0.875,obo1,b1777
b2092,b0150,0.750,obo2,b1777
b0150,b2677,0.625,obo1,b1777
b2677,b2282,0.500,obo2,b1777
b2282,b1891,0.375,obo1,b1777
b1891,b0523,0.250,obo2,b1777
b0523,b0419,0.125,obo1,b1777
b0419,b0523,0.000,obo2,b1777
b0810,b1523,0.500,obo1,b0810
b1523,b0810,0.000,obo2,b0810
b0812,b3868,0.667,obo1,b0812
b3868,b1943,0.333,obo2,b0812
b1943,b3868,0.000,obo1,b0812
b1810,b3024,0.667,obo1,b1810
b3024,b0922,0.333,obo2,b1810
b0922,b3024,0.000,obo1,b1810
b1818,b3983,0.500,obo1,b1818
b3983,b1818,0.000,obo2,b1818
b1138,b0794,0.750,obo1,b1138
b0794,b0003,0.500,obo2,b1138
b0003,b1444,0.250,obo1,b1138
b1444,b0003,0.000,obo2,b1138
b0440,b2035,0.500,obo1,b0440
b2035,b0440,0.000,obo2,b0440
b2137,b2875,0.833,obo1,b2137
b2875,b3599,0.667,obo2,b2137
b3599,b1583,0.500,obo1,b2137
b1583,b2197,0.333,obo2,b2137
b2197,b1039,0.167,obo1,b2137
b1039,b2137,0.000,obo2,b2137
b1037,b1444,0.667,obo1,b1037
b1444,b0003,0.333,obo2,b1037
b0003,b1444,0.000,obo1,b1037
b4045,b2019,0.500,obo1,b4045
b2019,b4045,0.000,obo2,b4045
b1039,b2137,0.833,obo1,b1039
b2137,b2875,0.667,obo2,b1039
b2875,b3599,0.500,obo1,b1039
b3599,b1583,0.333,obo2,b1039
b1583,b2197,0.167,obo1,b1039
b2197,b1039,0.000,obo2,b1039
b1131,b0143,0.929,obo1,b1131
b0143,b1955,0.857,obo2,b1131
b1955,b3604,0.786,obo1,b1131
b3604,b3606,0.714,obo2,b1131
b3606,b1923,0.643,obo1,b1131
b1923,b2661,0.571,obo2,b1131
b2661,b3296,0.500,obo1,b1131
b3296,b0724,0.429,obo2,b1131
b0724,b1225,0.357,obo1,b1131
b1225,b3307,0.286,obo2,b1131
b3307,b1632,0.214,obo1,b1131
b1632,b1883,0.143,obo2,b1131
b1883,b1224,0.071,obo1,b1131
b1224,b1883,0.000,obo2,b1131
b1132,b2317,0.833,obo1,b1132
b2317,b1388,0.667,obo2,b1132
b1388,b0865,0.500,obo1,b1132
b0865,b1224,0.333,obo2,b1132
b1224,b1883,0.167,obo1,b1132
b1883,b1224,0.000,obo2,b1132
b1133,b1953,0.933,obo1,b1133
b1953,b0143,0.867,obo2,b1133
b0143,b1955,0.800,obo1,b1133
b1955,b3604,0.733,obo2,b1133
b3604,b3606,0.667,obo1,b1133
b3606,b1923,0.600,obo2,b1133
b1923,b2661,0.533,obo1,b1133
b2661,b3296,0.467,obo2,b1133
b3296,b0724,0.400,obo1,b1133
b0724,b1225,0.333,obo2,b1133
b1225,b3307,0.267,obo1,b1133
b3307,b1632,0.200,obo2,b1133
b1632,b1883,0.133,obo1,b1133
b1883,b1224,0.067,obo2,b1133
b1224,b1883,0.000,obo1,b1133
b1134,b3312,0.750,obo1,b1134
b3312,b0419,0.500,obo2,b1134
b0419,b0523,0.250,obo1,b1134
b0523,b0419,0.000,obo2,b1134
b1136,b0782,0.800,obo1,b1136
b0782,b0865,0.600,obo2,b1136
b0865,b1224,0.400,obo1,b1136
b1224,b1883,0.200,obo2,b1136
b1883,b1224,0.000,obo1,b1136
b1246,b4015,0.889,obo1,b1246
b4015,b1208,0.778,obo2,b1246
b1208,b1709,0.667,obo1,b1246
b1709,b0285,0.556,obo2,b1246
b0285,b0284,0.444,obo1,b1246
b0284,b1632,0.333,obo2,b1246
b1632,b1883,0.222,obo1,b1246
b1883,b1224,0.111,obo2,b1246
b1224,b1883,0.000,obo1,b1246
b0781,b1081,0.857,obo1,b0781
b1081,b3625,0.714,obo2,b0781
b3625,b1134,0.571,obo1,b0781
b1134,b3312,0.429,obo2,b0781
b3312,b0419,0.286,obo1,b0781
b0419,b0523,0.143,obo2,b0781
b0523,b0419,0.000,obo1,b0781
b0782,b0865,0.750,obo1,b0782
b0865,b1224,0.500,obo2,b0782
b1224,b1883,0.250,obo1,b0782
b1883,b1224,0.000,obo2,b0782
b0783,b0221,0.857,obo1,b0783
b0221,b3313,0.714,obo2,b0783
b3313,b0720,0.571,obo1,b0783
b0720,b0727,0.429,obo2,b0783
b0727,b1883,0.286,obo1,b0783
b1883,b1224,0.143,obo2,b0783
b1224,b1883,0.000,obo1,b0783
b0784,b0493,0.800,obo1,b0784
b0493,b1881,0.600,obo2,b0784
b1881,b3457,0.400,obo1,b0784
b3457,b3382,0.200,obo2,b0784
b3382,b3457,0.000,obo1,b0784
b1243,b3170,0.500,obo1,b1243
b3170,b1243,0.000,obo2,b1243
b1716,b0830,0.667,obo1,b1716
b0830,b0607,0.333,obo2,b1716
b0607,b0830,0.000,obo1,b1716
b1493,b2903,0.750,obo1,b1493
b2903,b4188,0.500,obo2,b1493
b4188,b2203,0.250,obo1,b1493
b2203,b4188,0.000,obo2,b1493
b0789,b3493,0.800,obo1,b0789
b3493,b0050,0.600,obo2,b0789
b0050,b3749,0.400,obo1,b0789
b3749,b4067,0.200,obo2,b0789
b4067,b3749,0.000,obo1,b0789
b3567,b3786,0.857,obo1,b3567
b3786,b1680,0.714,obo2,b3567
b1680,b2762,0.571,obo1,b3567
b2762,b2507,0.429,obo2,b3567
b2507,b1684,0.286,obo1,b3567
b1684,b2242,0.143,obo2,b3567
b2242,b1684,0.000,obo1,b3567
b1490,b1197,0.667,obo1,b1490
b1197,b1536,0.333,obo2,b1490
b1536,b1197,0.000,obo1,b1490
b3228,b4377,0.889,obo1,b3228
b4377,b3175,0.778,obo2,b3228
b3175,b2185,0.667,obo1,b3228
b2185,b0285,0.556,obo2,b3228
b0285,b0284,0.444,obo1,b3228
b0284,b1632,0.333,obo2,b3228
b1632,b1883,0.222,obo1,b3228
b1883,b1224,0.111,obo2,b3228
b1224,b1883,0.000,obo1,b3228
b1494,b3606,0.909,obo1,b1494
b3606,b1923,0.818,obo2,b1494
b1923,b2661,0.727,obo1,b1494
b2661,b3296,0.636,obo2,b1494
b3296,b0724,0.545,obo1,b1494
b0724,b1225,0.455,obo2,b1494
b1225,b3307,0.364,obo1,b1494
b3307,b1632,0.273,obo2,b1494
b1632,b1883,0.182,obo1,b1494
b1883,b1224,0.091,obo2,b1494
b1224,b1883,0.000,obo1,b1494
b3997,b0659,0.933,obo1,b3997
b0659,b0586,0.867,obo2,b3997
b0586,b0406,0.800,obo1,b3997
b0406,b3311,0.733,obo2,b3997
b3311,b0711,0.667,obo1,b3997
b0711,b1246,0.600,obo2,b3997
b1246,b4015,0.533,obo1,b3997
b4015,b1208,0.467,obo2,b3997
b1208,b1709,0.400,obo1,b3997
b1709,b0285,0.333,obo2,b3997
b0285,b0284,0.267,obo1,b3997
b0284,b1632,0.200,obo2,b3997
b1632,b1883,0.133,obo1,b3997
b1883,b1224,0.067,obo2,b3997
b1224,b1883,0.000,obo1,b3997
b3639,b3741,0.750,obo1,b3639
b3741,b3167,0.500,obo2,b3639
b3167,b1679,0.250,obo1,b3639
b1679,b3167,0.000,obo2,b3639
b3186,b1397,0.800,obo1,b3186
b1397,b3310,0.600,obo2,b3186
b3310,b3167,0.400,obo1,b3186
b3167,b1679,0.200,obo2,b3186
b1679,b3167,0.000,obo1,b3186
b3288,b4315,0.889,obo1,b3288
b4315,b3393,0.778,obo2,b3288
b3393,b2281,0.667,obo1,b3288
b2281,b1628,0.556,obo2,b3288
b1628,b3959,0.444,obo1,b3288
b3959,b0118,0.333,obo2,b3288
b0118,b0863,0.222,obo1,b3288
b0863,b2600,0.111,obo2,b3288
b2600,b2281,0.000,obo1,b3288
b3741,b3167,0.667,obo1,b3741
b3167,b1679,0.333,obo2,b3741
b1679,b3167,0.000,obo1,b3741
b1397,b3310,0.750,obo1,b1397
b3310,b3167,0.500,obo2,b1397
b3167,b1679,0.250,obo1,b1397
b1679,b3167,0.000,obo2,b1397
b3165,b2750,0.900,obo1,b3165
b2750,b3640,0.800,obo2,b3165
b3640,b2199,0.700,obo1,b3165
b2199,b2600,0.600,obo2,b3165
b2600,b2281,0.500,obo1,b3165
b2281,b1628,0.400,obo2,b3165
b1628,b3959,0.300,obo1,b3165
b3959,b0118,0.200,obo2,b3165
b0118,b0863,0.100,obo1,b3165
b0863,b2600,0.000,obo2,b3165
b3167,b1679,0.500,obo1,b3167
b1679,b3167,0.000,obo2,b3167
b3166,b3750,0.667,obo1,b3166
b3750,b3958,0.333,obo2,b3166
b3958,b3750,0.000,obo1,b3166
b3169,b4033,0.923,obo1,b3169
b4033,b0592,0.846,obo2,b3169
b0592,b3540,0.769,obo1,b3169
b3540,b3923,0.692,obo2,b3169
b3923,b2665,0.615,obo1,b3169
b2665,b1967,0.538,obo2,b3169
